4,1,7,8,5,4
8,7,4,5,0,8
7,8,5,1,4,7
34,36,35,38,40,34
31,21,29,25,30,31
20,28,10,23,29,20
23,19,21,24,20,23
16,9,10,3,23,16
35,34,33,36,37,35
21,31,23,19,24,21
14,17,1,2,25,14
21,31,11,5,19,21
13,15,12,35,2,13
35,34,36,33,37,35
12,36,42,32,10,12
21,31,27,23,24,21
23,19,31,30,29,23
8,7,4,5,0,8
35,34,33,36,37,35
42,10,6,9,16,42
3,5,2,0,8,3
27,24,11,26,18,27
5,3,2,7,1,5
19,23,21,11,31,19
42,41,6,10,7,42
42,41,6,16,32,42
27,24,25,11,26,27
33,35,39,36,4,33
6,42,1,3,5,6
34,36,38,35,40,34
24,18,27,28,25,24
34,36,35,38,6,34
30,28,11,25,29,30
28,29,20,23,24,28
3,5,2,7,8,3
18,26,24,11,25,18
0,1,8,4,24,0
38,34,36,40,2,38
23,20,19,30,29,23
39,33,37,40,38,39
17,14,9,10,5,17
13,15,12,9,17,13
38,34,36,40,2,38
20,23,25,28,18,20
42,41,6,10,9,42
33,35,39,40,37,33
42,41,6,10,16,42
37,39,34,40,35,37
27,24,26,11,25,27
9,16,15,10,41,15
37,35,40,39,34,37
24,18,27,28,25,24
36,35,38,34,41,36
9,10,16,41,15,9
3,5,2,8,7,3
33,35,39,36,40,33
24,18,27,4,25,24
20,23,28,25,24,20
11,27,30,26,25,11
17,14,9,10,5,17
11,27,30,26,25,11
39,33,37,40,41,39
17,14,9,10,5,17
12,25,10,42,13,12
26,18,27,21,25,26
17,14,10,9,5,17
41,42,32,16,9,41
35,33,36,34,38,35
0,1,4,8,24,0
40,37,38,2,34,40
26,18,27,21,22,26
36,34,38,35,40,36
1,2,5,0,4,1
9,10,16,15,41,9
39,37,33,38,40,39
9,10,16,41,23,9
10,9,17,5,16,10
21,31,23,11,19,21
11,27,30,26,25,11
10,9,17,5,16,10
11,30,27,25,26,11
31,21,23,29,19,31
5,3,2,7,10,5
22,29,26,28,23,22
19,23,21,24,31,19
5,3,2,7,8,5
31,21,29,25,10,31
6,1,42,3,5,6
14,1,25,17,12,14
8,7,4,0,5,8
1,2,5,0,12,1
26,18,22,11,27,26
41,9,32,42,16,41
11,27,30,18,25,11
29,28,23,30,3,29
16,9,10,15,23,16
33,39,35,40,36,33
27,24,11,21,18,27
36,35,38,34,33,36
18,26,24,25,11,18
5,2,3,1,7,5
33,35,40,39,36,33
18,26,24,25,11,18
16,9,10,15,23,16
9,10,16,23,29,9
5,2,3,1,7,5
34,38,35,36,37,34
9,10,16,41,15,9
14,17,25,1,2,14
9,10,15,13,2,9
4,1,7,8,5,4
7,8,1,5,4,7
25,22,1,29,30,25
16,9,15,10,3,16
5,3,2,1,7,5
7,8,5,1,3,7
14,1,25,17,29,14
21,31,27,2,19,21
5,3,7,2,8,5
19,23,21,24,11,19
19,23,21,31,12,19
26,18,22,21,27,26
7,8,5,1,3,7
37,35,40,39,34,37
3,5,2,1,7,3
31,21,20,18,30,31
23,20,19,29,31,23
10,9,17,5,16,10
26,18,27,22,25,26
17,14,9,10,5,17
13,15,12,35,2,13
42,6,41,5,32,42
14,1,29,25,17,14
38,40,34,36,37,38
21,31,19,11,27,21
27,24,26,11,21,27
39,33,40,37,38,39
36,38,35,41,34,36
10,9,17,5,16,10
32,41,15,3,1,32
1,2,5,7,4,2
40,38,37,39,34,40
15,9,4,1,3,15
0,1,4,8,24,0
4,1,8,7,5,4
20,28,23,25,24,20
